frame,xmin,xmax,ymin,ymax,class_id
1479505644958006299.jpg,121,162,138,169,1
1479505644958006299.jpg,151,165,141,152,1
1479505644958006299.jpg,186,201,139,153,1
1479505644958006299.jpg,215,230,142,155,1
1479505644958006299.jpg,238,250,143,155,1
1479505644958006299.jpg,248,270,142,158,1
1479505644958006299.jpg,277,307,139,162,1
1479505644958006299.jpg,295,330,143,167,1
1479505644958006299.jpg,364,392,137,156,1
1479505645458067538.jpg,27,119,133,200,1
1479505645458067538.jpg,141,154,145,154,1
1479505645458067538.jpg,153,161,144,152,1
1479505645458067538.jpg,159,173,144,155,1
1479505645458067538.jpg,196,210,141,154,1
1479505645458067538.jpg,222,236,144,155,1
1479505645458067538.jpg,237,248,145,154,1
1479505645458067538.jpg,252,266,145,156,1
1479505645458067538.jpg,266,287,144,160,1
1479505645458067538.jpg,304,337,142,167,1
1479505645458067538.jpg,323,369,145,171,1
1479505645458067538.jpg,399,425,141,160,1
1479505646457912353.jpg,132,152,144,160,1
1479505646457912353.jpg,162,182,143,162,1
1479505646457912353.jpg,179,188,144,156,1
1479505646457912353.jpg,215,228,142,154,1
1479505646457912353.jpg,237,252,143,157,1
1479505646457912353.jpg,262,277,143,156,1
1479505646457912353.jpg,282,302,144,161,1
1479505646457912353.jpg,301,336,142,164,1
1479505646457912353.jpg,376,453,138,182,1
1479505646457912353.jpg,437,479,143,195,1
1479505647458740501.jpg,44,101,142,173,1
1479505647458740501.jpg,125,170,140,171,1
1479505647458740501.jpg,168,192,139,158,1
1479505647458740501.jpg,191,206,141,151,1
1479505647458740501.jpg,233,247,138,150,1
1479505647458740501.jpg,253,267,141,151,1
1479505647458740501.jpg,287,305,142,155,1
1479505647458740501.jpg,318,346,143,160,1
1479505647458740501.jpg,358,419,140,175,1
1479505647958901189.jpg,0,119,133,212,1
1479505647958901189.jpg,145,178,139,166,1
1479505647958901189.jpg,185,200,141,155,1
1479505647958901189.jpg,233,247,140,152,1
1479505647958901189.jpg,252,267,142,153,1
1479505647958901189.jpg,290,299,144,156,1
1479505647958901189.jpg,295,316,143,159,1
1479505647958901189.jpg,338,374,144,168,1
1479505647958901189.jpg,403,479,142,189,1
1479505648958548594.jpg,0,25,138,218,1
1479505648958548594.jpg,42,51,138,163,3
1479505648958548594.jpg,150,180,136,159,1
1479505648958548594.jpg,228,244,137,150,1
1479505648958548594.jpg,246,264,138,154,1
1479505648958548594.jpg,299,308,143,160,1
1479505648958548594.jpg,308,340,140,163,1
1479505648958548594.jpg,405,478,141,186,1
